part_number,manufacturer,category,description,availability,price,datasheet_url,product_url
EDH108M050S9TAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 50V 1000uF 20% AEC-Q200,3166 在庫,¥387.9,https://www.mouser.com/datasheet/3/508/1/EDH108M050S9TAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EDH108M050S9TAA?qs=E9QF1UCAUX7SxWMyCBfAvA%3D%3D
MAL213635471E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 470uF 16V 20% 10 x 16,2467 在庫,¥303.2,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213635471E3?qs=aJI9t0tCUiXxgIxOlZ6PNg%3D%3D
MAL219055222E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 2200uF 16V 20% 12.5 x 25,663 在庫,¥482.5,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL219055222E3?qs=eP2BKZSCXI5jQF%252BmiDkT5g%3D%3D
MAL202124102E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 1000uF 10V 20% Axial,1420 在庫,¥554.2,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202124102E3?qs=KQJA%252BRRrFWc2JJxulCxKmg%3D%3D
EXV106M035A9DAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 35V 10uF 20%,36774 在庫,¥78.2,https://www.mouser.com/datasheet/3/72/1/EXV106M035A9DAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EXV106M035A9DAA?qs=Z46kSA%2FmtFjka%252BCUn3bIug%3D%3D
MAL202118681E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 680uF 63V 20% Axial,1125 在庫,¥815,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202118681E3?qs=HIKTYMuL%252B9OAaEgT32%2FO8Q%3D%3D
MAL202190548E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 15uF 100V 20% Axial,1818 在庫,¥430.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202190548E3?qs=KQJA%252BRRrFWd8l1pxAoj3DQ%3D%3D
MAL202137151E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 150uF 40V 20% Axial,1949 在庫,¥482.5,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202137151E3?qs=hMvNqCV5SUZ5SuPRLC8dfw%3D%3D
MAL202139159E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 15uF 100V 20% Axial,1609 在庫,¥440.1,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202139159E3?qs=hMvNqCV5SUaw2iDre377Ew%3D%3D
MAL219357471E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 470uF 450V 35x50,432 在庫,"¥3,348",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL219357471E3?qs=GedFDFLaBXHGPbG7as%2FOlA%3D%3D
MAL215299701E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 2.2UF   450V    20%,9978 在庫,¥303.2,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215299701E3?qs=xZ%2FP%252Ba9zWqbvYw9n9k4CbQ%3D%3D
PEH169PH447VMB2,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 100V 4700uF 20% 17000Hrs,84 在庫,"¥8,039.2",https://www.mouser.com/datasheet/3/72/1/KEM_A4035_PEH169_85C.pdf,https://www.mouser.jp/ProductDetail/KEMET/PEH169PH447VMB2?qs=SvuCqwVNuzW6GK6mwgkJKw%3D%3D
ALS80C124NF063,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 63V 120000uF 20% 9000Hrs,36 在庫,"¥12,903.1",https://www.mouser.com/datasheet/3/72/1/KEM_A4076_ALS80_81.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS80C124NF063?qs=AQlKX63v8RuorQ5xLsDvLQ%3D%3D
ELH687M450AT8AA,KEMET,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 680uF 450V 20% 85C Snap in 35x60,534 在庫,"¥2,616.2",https://www.mouser.com/datasheet/3/72/1/ELH687M450AT8AA.pdf,https://www.mouser.jp/ProductDetail/KEMET/ELH687M450AT8AA?qs=907G%252Bm7SbTuK%252BKBsPX9ssw%3D%3D
EEV108M010A9PAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 10V 1000uF 20% 80 mOhms,13259 在庫,¥143.4,https://www.mouser.com/datasheet/3/508/1/EEV108M010A9PAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EEV108M010A9PAA?qs=T9vdlufmP8wsfGJIh8Ffdg%3D%3D
ELG478M063AR6AA,KEMET,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 63V 4700uF 20% 105C 2000Hrs,711 在庫,¥860.6,https://www.mouser.com/datasheet/3/72/1/KEM_A4021_ELG.pdf,https://www.mouser.jp/ProductDetail/KEMET/ELG478M063AR6AA?qs=KFnARfWiB%252BuUG6SZzv660w%3D%3D
MAL215956121E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 120uF 400V 25x30mm,602 在庫,"¥1,869.6",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215956121E3?qs=R62HgyKaTt8HFjDDbv7d%252BA%3D%3D
TE1302-E3,Vishay,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 3uF 50V +75% -10%,757 在庫,¥921,,https://www.mouser.jp/ProductDetail/Vishay/TE1302-E3?qs=F0bBuU9YDEx3qBJ%2FW%2Fn%2FIA%3D%3D
865060557008,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLL 220uF 35V 20% SMD/SMT,8033 在庫,¥171.2,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865060557008?qs=0KOYDY2FL28oI1cX4lk%252BIg%3D%3D
860240975001,Wurth Elektronik,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード WCAP-AT1H 10uF 160V 20%,2478 在庫,¥125.5,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/860240975001?qs=amGC7iS6iy%2FKoN%252BD0pVtrg%3D%3D
B43505A9337M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 330uF 20% PVC STD 6.3mm Term,316 在庫,"¥2,231.5",https://www.mouser.com/catalog/specsheets/tdk_B41505__B43505.pdf,https://www.mouser.jp/ProductDetail/TDK/B43505A9337M000?qs=brqxNzf12%252BLtqES8bItugQ%3D%3D
MAL213819689E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 68uF 100V 20% Axial,1811 在庫,¥604.7,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213819689E3?qs=cNeEOuFtP2iQrrzxNb%252B3fw%3D%3D
