part_number,manufacturer,category,description,availability,price,datasheet_url,product_url,capacitance_uF,voltage_V,tolerance_percent,price_jpy,stock,is_aluminum_electrolytic
MAL213656221E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 220uF 25V 20% 10 x 12,1047 在庫,¥280.4,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213656221E3?qs=aJI9t0tCUiUpfPuD9yYdPw%3D%3D,220.0,25.0,20.0,280.4,1047,True
REA1020331M050K,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード ALUMINUM RADIAL,1197 在庫,¥150,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1020331M050K?qs=Y0Uzf4wQF3m03Aa9rp6SMA%3D%3D,,,,150.0,1197,True
REA1020680M100K,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード ALUMINUM RADIAL,1200 在庫,¥112.5,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1020680M100K?qs=Y0Uzf4wQF3kLJerWkAuduw%3D%3D,,,,112.5,1200,True
REA1632470M400B,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 400V 47uF 1632 330mA,1518 在庫,¥358.6,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1632470M400B?qs=Y0Uzf4wQF3mnL9kSmcQk0g%3D%3D,47.0,400.0,,358.6,1518,True
ALS32A822N5R350,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 350V 8200uF 20% 85C 20000Hrs,53 在庫,"¥17,793.1",https://www.mouser.com/datasheet/3/72/1/ALS32A822N5R350.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS32A822N5R350?qs=9dva729kc%252BgXqSpbg9gx4A%3D%3D,8200.0,350.0,20.0,17793.1,53,True
MAL220212682E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 6800uF 200V 20% 50x105mm 85C 10000h,140 在庫,"¥12,321.2",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220212682E3?qs=By6Nw2ByBD1bC%2FeesnJ8lA%3D%3D,6800.0,200.0,20.0,12321.2,140,True
MAL203035151E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 85C,1765 在庫,¥401,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL203035151E3?qs=4T%252B5yYZyZYeEbVoNvTMmKg%3D%3D,,,,401.0,1765,True
MAL215097001E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 220UF 35V 105C 3000H,43651 在庫,¥386.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215097001E3?qs=qmStTZH4TznrazWVrwNWmA%3D%3D,220.0,35.0,,386.3,43651,True
MAL205148103E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 10000 F 63V 40x40mm 85 C 12000h,180 在庫,"¥4,436.9",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL205148103E3?qs=r0NmvwWPm2z6qW2pz31g%252BA%3D%3D,10000.0,63.0,,4436.9,180,True
MAL225966471E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 470uF 400V 20% 105C 3000H 35x35mm,675 在庫,"¥2,754.7",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL225966471E3?qs=r5DSvlrkXmJ9zh5giZ1tYQ%3D%3D,470.0,400.0,20.0,2754.7,675,True
MAL225967221E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 220uF 450V 20% 105C 3000H 30x35mm,613 在庫,"¥1,411.6",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL225967221E3?qs=r5DSvlrkXmIw4MrFx9HaNw%3D%3D,220.0,450.0,20.0,1411.6,613,True
MAL225957101E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 100uF 450V 20% 105C 3000H 22x30mm,862 在庫,"¥1,344.8",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL225957101E3?qs=r5DSvlrkXmKYqS%2FXiJVE%2Fg%3D%3D,100.0,450.0,20.0,1344.8,862,True
ALS33A562N5R450,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 450V 5600uF 20% 85C 20000Hrs,193 在庫,"¥10,888.4",https://www.mouser.com/datasheet/3/72/1/KEM_A4032_ALS32_33.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS33A562N5R450?qs=Ces2wY188b3dFTJaSUG%252BhA%3D%3D,5600.0,450.0,20.0,10888.4,193,True
MAL215296475E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 4.7uF 400V 10x12mm 105C 3000h,2270 在庫,¥254.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215296475E3?qs=qmStTZH4TzmNVgVqeo9B3w%3D%3D,4.7,400.0,,254.3,2270,True
MAL219357331E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 330uF 450V 35x35,632 在庫,"¥2,570.5",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL219357331E3?qs=GedFDFLaBXFYlJIVG%252BoTvA%3D%3D,330.0,450.0,,2570.5,632,True
MAL214099812E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 220UF    63V    20%,1400 在庫,¥577,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214099812E3?qs=Ep9Lwju7gVrQmmz0RR3VBQ%3D%3D,220.0,63.0,20.0,577.0,1400,True
B43505C9227M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 220uF 20% PVC STD 6.3mm Term,228 在庫,"¥2,189.1",https://www.mouser.com/catalog/specsheets/tdk_B41505__B43505.pdf,https://www.mouser.jp/ProductDetail/TDK/B43505C9227M000?qs=brqxNzf12%252BLlWe8Di8Njsg%3D%3D,220.0,400.0,20.0,2189.1,228,True
MAL224699708E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 220uF 80V 16x16x16mm 125C 2500h,225 在庫,¥798.7,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL224699708E3?qs=cQ%252BZosJmp0Pox6pyC3Ig6A%3D%3D,220.0,80.0,,798.7,225,True
MAL215097904E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 33UF 100V 105C 3000H,23340 在庫,¥386.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215097904E3?qs=LPi%252B6n6Uj5NKbv7W8MBx6Q%3D%3D,33.0,100.0,,386.3,23340,True
REA1020100M400K,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード ALUMINUM RADIAL,1200 在庫,¥112.5,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1020100M400K?qs=Y0Uzf4wQF3lrGHOG3neisg%3D%3D,,,,112.5,1200,True
REA1020390M160K,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード ALUMINUM RADIAL,1200 在庫,¥102.7,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1020390M160K?qs=Y0Uzf4wQF3nFUPMTZPIJMQ%3D%3D,,,,102.7,1200,True
